,Pos,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR,GP,AB,RC,RC/27,BB/PA,BB/K,ISOP,SECA,P/PA,XBH,PA,AB/HR,AVG,OBP,SLG,OPS
Jonathan Villar ,2B,162,642,111,176,33,5,24,73,291,61,176,40,.274,.339,.453,.792,4.0,162,642,103.3,5.7,.085,0.35,.179,.322,3.98,62,714,26.8,.274,.339,.453,.792
Trey Mancini ,RF,154,602,106,175,38,2,35,97,322,63,143,1,.291,.364,.535,.899,3.3,154,602,110.2,6.6,.093,0.44,.244,.350,4.01,75,679,17.2,.291,.364,.535,.899
Renato Nunez ,1B,151,541,72,132,24,0,31,90,249,44,143,1,.244,.311,.460,.771,1.1,151,541,77.0,4.9,.073,0.31,.216,.298,4.11,55,599,17.5,.244,.311,.460,.771
Hanser Alberto ,2B,139,524,62,160,21,2,12,51,221,16,50,4,.305,.329,.422,.751,3.1,139,524,69.9,4.9,.029,0.32,.116,.147,3.20,35,550,43.7,.305,.329,.422,.751
Anthony Santander ,RF,93,380,46,99,20,1,20,59,181,19,86,1,.261,.297,.476,.773,1.3,93,380,54.3,5.1,.047,0.22,.216,.263,4.10,41,405,19.0,.261,.297,.476,.773
Rio Ruiz ,3B,127,370,35,86,13,2,12,46,139,40,88,0,.232,.306,.376,.682,0.5,127,370,40.4,3.6,.097,0.45,.143,.249,3.86,27,413,30.8,.232,.306,.376,.682
Dwight Smith Jr. ,LF,101,357,46,86,16,3,13,53,147,26,82,5,.241,.297,.412,.708,-0.9,101,357,43.4,4.1,.066,0.32,.171,.255,3.82,32,392,27.5,.241,.297,.412,.708
Stevie Wilkerson ,CF,117,329,41,74,18,2,10,35,126,22,108,3,.225,.286,.383,.669,-0.8,117,329,35.2,3.6,.061,0.20,.158,.225,4.09,30,361,32.9,.225,.286,.383,.669
Chris Davis ,1B,105,307,26,55,9,0,12,36,100,39,139,0,.179,.276,.326,.601,-1.0,105,307,27.1,2.8,.111,0.28,.147,.274,4.33,21,352,25.6,.179,.276,.326,.601
Pedro Severino ,C,96,305,37,76,13,0,13,44,128,29,73,3,.249,.321,.420,.740,1.2,96,305,41.6,4.7,.085,0.40,.170,.272,4.11,26,341,23.5,.249,.321,.420,.740
Richie Martin ,SS,120,283,29,59,8,3,6,23,91,14,83,10,.208,.260,.322,.581,-0.6,120,283,23.3,2.7,.045,0.17,.113,.194,3.98,17,309,47.2,.208,.260,.322,.581
Chance Sisco ,C,59,167,29,35,7,0,8,20,66,22,61,0,.210,.333,.395,.729,0.1,59,167,21.9,4.3,.111,0.36,.186,.311,4.31,15,198,20.9,.210,.333,.395,.729
DJ Stewart ,RF,44,126,15,30,6,0,4,15,48,14,26,1,.238,.317,.381,.698,-0.4,44,126,14.7,3.9,.099,0.54,.143,.246,4.00,10,142,31.5,.238,.317,.381,.698
Joey Rickard  *,RF,42,118,10,24,7,2,2,6,41,14,33,3,.203,.304,.347,.651,0.4,42,118,13.3,3.8,.104,0.42,.144,.271,4.19,11,135,59.0,.203,.304,.347,.651
Keon Broxton  *,CF,37,103,14,21,3,0,4,9,36,8,49,4,.204,.261,.350,.611,0.0,37,103,8.3,2.6,.071,0.16,.146,.252,4.26,7,112,25.8,.204,.261,.350,.611
Jace Peterson ,2B,29,100,14,22,3,1,2,11,33,6,24,4,.220,.269,.330,.599,-0.2,29,100,9.2,3.1,.056,0.25,.110,.200,4.11,6,108,50.0,.220,.269,.330,.599
Austin Wynns ,C,28,70,8,15,1,0,1,5,19,3,14,0,.214,.247,.271,.518,0.2,28,70,3.7,1.7,.041,0.21,.057,.100,3.68,2,74,70.0,.214,.247,.271,.518
Austin Hays ,RF,21,68,12,21,6,0,4,13,39,7,13,2,.309,.373,.574,.947,0.7,21,68,14.7,8.4,.093,0.54,.265,.397,3.88,10,75,17.0,.309,.373,.574,.947
Cedric Mullins ,CF,22,64,7,6,0,2,0,4,10,4,14,1,.094,.181,.156,.337,-0.7,22,64,0.1,0.1,.054,0.29,.063,.141,3.99,2,74,0.0,.094,.181,.156,.337
Jesus Sucre ,C,20,62,3,13,2,0,0,3,15,4,13,0,.210,.269,.242,.511,0.0,20,62,3.7,2.0,.060,0.31,.032,.097,4.16,2,67,0.0,.210,.269,.242,.511
Mason Williams ,CF,11,30,4,8,1,0,0,2,9,3,6,1,.267,.324,.300,.624,-0.1,11,30,3.5,4.1,.088,0.50,.033,.167,3.71,1,34,0.0,.267,.324,.300,.624
Mark Trumbo ,DH,12,29,1,5,3,0,0,3,8,2,5,0,.172,.226,.276,.502,-0.3,12,29,0.9,1.0,.065,0.40,.103,.172,4.23,3,31,0.0,.172,.226,.276,.502
David Hess ,RP,2,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1,2,3,-0.3,-1.8,.000,0.00,.000,.000,2.75,0,4,0.0,.000,.000,.000,.000
Andrew Cashner ,SP,1,3,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0,1,3,-0.3,-2.7,.000,0.00,.000,.000,2.00,0,3,0.0,.000,.000,.000,.000
Drew Jackson ,SS,3,3,0,0,0,0,0,0,0,1,1,0,.000,.250,.000,.250,0.0,3,3,0.0,0.0,.250,1.00,.000,.333,4.25,0,4,0.0,.000,.250,.000,.250
Aaron Brooks ,SP,2,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1,2,3,-0.3,-1.8,.000,0.00,.000,.000,4.00,0,4,0.0,.000,.000,.000,.000
Tom Eshelman ,SP,1,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0,1,2,-0.2,-2.7,.000,0.00,.000,.000,3.00,0,2,0.0,.000,.000,.000,.000
Dylan Bundy ,SP,1,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0,1,2,-0.2,-2.9,.000,0.00,.000,.000,4.50,0,2,0.0,.000,.000,.000,.000
John Means ,SP,2,1,0,1,0,0,0,0,1,1,0,0,1.000,1.000,1.000,2.000,0.1,2,1,1.0,26.4,.333,0.00,.000,1.000,4.00,0,3,0.0,1.000,1.000,1.000,2.000
Asher Wojciechowski ,SP,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0,1,1,-0.1,-2.9,.000,0.00,.000,.000,6.00,0,1,0.0,.000,.000,.000,.000
Jose Rondon  *,SS,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0,1,1,-0.1,-2.7,.000,0.00,.000,.000,5.00,0,1,0.0,.000,.000,.000,.000
Total,,162,5596,729,1379,252,25,213,698,2320,462,1435,84,.246,.310,.415,.725,,,,,,,,,,,,,,,,,